mpi_rank, mpi_size, real_t_bits, tot_nelements, tot_nnodes, npoint_struc, clock, elements_second, nodes_second, nodes_struc_second, quadrature_points_second
0,   16,  32,   20971520,   28292577,   593730000,   0.00461807,   4.54119e+09,   6.12649e+09,   1.28567e+11,  2.54306e+11
0,   1,  32,   20971520,   28292577,   729000000,   0.0575408,   3.64463e+08,   4.91696e+08,   1.26693e+10,  2.04099e+10
0,   2,  32,   20971520,   28292577,   428490000,   0.0291591,   7.19211e+08,   9.70284e+08,   1.46949e+10,  4.02758e+10
0,   4,  32,   20971520,   28292577,   451980000,   0.015168,   1.38262e+09,   1.86528e+09,   2.97983e+10,  7.74266e+10
0,   8,  32,   20971520,   28292577,   499770000,   0.00802616,   2.61289e+09,   3.52504e+09,   6.22676e+10,  1.46322e+11
