rep,geo,op_type,ref,ptype,TTS [s],throughput [GB/s],nelements,ndofs,nnz
tet4,cylinder,Laplacian,0,scalar,8.2016e-06,1.62115,7208,1662,0
tet10,cylinder,Laplacian,0,scalar,1.04189e-05,1.27614,901,1662,0
macrotet4,cylinder,Laplacian,0,scalar,9.58443e-06,1.38725,901,1662,0
tet4,cylinder,LinearElasticity,0,vector,6.67095e-05,0.597936,7208,4986,0
tet10,cylinder,LinearElasticity,0,vector,3.45945e-05,1.15301,901,4986,0
macrotet4,cylinder,LinearElasticity,0,vector,2.72036e-05,1.46628,901,4986,0
tet4,cylinder,Laplacian,1,scalar,1.88112e-05,4.84604,57664,11395,0
tet10,cylinder,Laplacian,1,scalar,1.2517e-05,7.28291,7208,11395,0
macrotet4,cylinder,Laplacian,1,scalar,1.04904e-05,8.68984,7208,11395,0
tet4,cylinder,LinearElasticity,1,vector,4.78983e-05,5.7096,57664,34185,0
tet10,cylinder,LinearElasticity,1,vector,3.63111e-05,7.53157,7208,34185,0
macrotet4,cylinder,LinearElasticity,1,vector,2.70128e-05,10.1241,7208,34185,0
tet4,cylinder,Laplacian,2,scalar,0.000103688,6.47395,461312,83909,0
tet10,cylinder,Laplacian,2,scalar,4.07934e-05,16.4554,57664,83909,0
macrotet4,cylinder,Laplacian,2,scalar,3.829e-05,17.5313,57664,83909,0
tet4,cylinder,LinearElasticity,2,vector,0.00029161,6.90586,461312,251727,0
tet10,cylinder,LinearElasticity,2,vector,0.00016551,12.1673,57664,251727,0
macrotet4,cylinder,LinearElasticity,2,vector,0.000124788,16.1379,57664,251727,0
tet4,cylinder,Laplacian,3,scalar,0.000760794,6.76087,3690496,642953,0
tet10,cylinder,Laplacian,3,scalar,0.000261593,19.6627,461312,642953,0
macrotet4,cylinder,Laplacian,3,scalar,0.000252795,20.347,461312,642953,0
tet4,cylinder,LinearElasticity,3,vector,0.00219529,7.02909,3690496,1928859,0
tet10,cylinder,LinearElasticity,3,vector,0.000992894,15.5413,461312,1928859,0
macrotet4,cylinder,LinearElasticity,3,vector,0.000792789,19.464,461312,1928859,0
tet4,cylinder,Laplacian,4,scalar,0.0059597,6.75429,29523968,5031697,0
