rep,geo,op_type,ref,ptype,TTS [s],throughput [GB/s],nelements,ndofs,nnz
tet10,cylinder,Laplacian,4,scalar,0.00191398,21.0314,3690496,5031697,0
macrotet4,cylinder,Laplacian,4,scalar,0.00184951,21.7645,3690496,5031697,0
tet4,cylinder,LinearElasticity,4,vector,0.0165955,7.27671,29523968,15095091,0
tet10,cylinder,LinearElasticity,4,vector,0.0065542,18.4249,3690496,15095091,0
macrotet4,cylinder,LinearElasticity,4,vector,0.00573511,21.0564,3690496,15095091,0
tet4,cylinder,Laplacian,5,scalar,0.044816,7.10613,236191744,39808545,0
tet10,cylinder,Laplacian,5,scalar,0.0152729,20.8519,29523968,39808545,0
macrotet4,cylinder,Laplacian,5,scalar,0.0147512,21.5893,29523968,39808545,0
tet4,cylinder,LinearElasticity,5,vector,0.1329,7.18891,236191744,119425635,0
tet10,cylinder,LinearElasticity,5,vector,0.0516465,18.4989,29523968,119425635,0
macrotet4,cylinder,LinearElasticity,5,vector,0.0458206,20.851,29523968,119425635,0
tet4,sphere,Laplacian,0,scalar,8.2016e-06,1.17245,5120,1202,0
tet10,sphere,Laplacian,0,scalar,1.01089e-05,0.951236,640,1202,0
macrotet4,sphere,Laplacian,0,scalar,9.98974e-06,0.962588,640,1202,0
tet4,sphere,LinearElasticity,0,vector,2.16007e-05,1.33551,5120,3606,0
tet10,sphere,LinearElasticity,0,vector,3.44038e-05,0.838512,640,3606,0
macrotet4,sphere,LinearElasticity,0,vector,2.68936e-05,1.07267,640,3606,0
tet4,sphere,Laplacian,1,scalar,1.58072e-05,4.13332,40960,8167,0
tet10,sphere,Laplacian,1,scalar,1.18971e-05,5.49176,5120,8167,0
macrotet4,sphere,Laplacian,1,scalar,1.02043e-05,6.40278,5120,8167,0
tet4,sphere,LinearElasticity,1,vector,4.58002e-05,4.27963,40960,24501,0
tet10,sphere,LinearElasticity,1,vector,3.51906e-05,5.5699,5120,24501,0
macrotet4,sphere,LinearElasticity,1,vector,2.6989e-05,7.26252,5120,24501,0
tet4,sphere,Laplacian,2,scalar,7.56979e-05,6.32715,327680,59869,0
tet10,sphere,Laplacian,2,scalar,3.08037e-05,15.5485,40960,59869,0
macrotet4,sphere,Laplacian,2,scalar,2.8801e-05,16.6297,40960,59869,0
tet4,sphere,LinearElasticity,2,vector,0.000211406,6.79667,327680,179607,0
tet10,sphere,LinearElasticity,2,vector,0.000118613,12.1138,40960,179607,0
macrotet4,sphere,LinearElasticity,2,vector,8.74996e-05,16.4213,40960,179607,0
tet4,sphere,Laplacian,3,scalar,0.000541186,6.76619,2621440,457721,0
tet10,sphere,Laplacian,3,scalar,0.000189304,19.3433,327680,457721,0
macrotet4,sphere,Laplacian,3,scalar,0.0001827,20.0425,327680,457721,0
tet4,sphere,LinearElasticity,3,vector,0.00157008,6.99664,2621440,1373163,0
tet10,sphere,LinearElasticity,3,vector,0.000731897,15.0094,327680,1373163,0
macrotet4,sphere,LinearElasticity,3,vector,0.000572896,19.175,327680,1373163,0
tet4,sphere,Laplacian,4,scalar,0.00423839,6.75369,20971520,3578097,0
tet10,sphere,Laplacian,4,scalar,0.00136998,20.8943,2621440,3578097,0
macrotet4,sphere,Laplacian,4,scalar,0.00131571,21.7561,2621440,3578097,0
tet4,sphere,LinearElasticity,4,vector,0.0117995,7.27779,20971520,10734291,0
tet10,sphere,LinearElasticity,4,vector,0.00470779,18.2409,2621440,10734291,0
macrotet4,sphere,LinearElasticity,4,vector,0.00409141,20.989,2621440,10734291,0
tet4,sphere,Laplacian,5,scalar,0.0318803,7.09971,167772160,28292577,0
tet10,sphere,Laplacian,5,scalar,0.0108968,20.7713,20971520,28292577,0
macrotet4,sphere,Laplacian,5,scalar,0.0105302,21.4945,20971520,28292577,0
tet4,sphere,LinearElasticity,5,vector,0.0944904,7.18615,167772160,84877731,0
tet10,sphere,LinearElasticity,5,vector,0.0367147,18.4946,20971520,84877731,0
macrotet4,sphere,LinearElasticity,5,vector,0.0325848,20.8386,20971520,84877731,0
