cluster_size,tet_number,time_sec,tets_per_sec
 1 , 3117824 , 0.240467, 1.296568e+07 
 2 , 3117824 , 0.206439, 1.510292e+07 
 3 , 3117824 , 0.188720, 1.652090e+07 
 4 , 3117824 , 0.180321, 1.729044e+07 
 6 , 3117824 , 0.174055, 1.791289e+07 
 8 , 3117824 , 0.163107, 1.911524e+07 
 12 , 3117824 , 0.156222, 1.995761e+07 
 16 , 3117824 , 0.159151, 1.959038e+07 
 24 , 3117824 , 0.177701, 1.754532e+07 
 32 , 3117824 , 0.176030, 1.771190e+07 
 56 , 3117824 , 0.234352, 1.330401e+07 
 64 , 3117824 , 0.218033, 1.429978e+07 
 96 , 3117824 , 0.319129, 9.769784e+06 
 128 , 3117824 , 0.393081, 7.931762e+06 
 256 , 3117824 , 0.671293, 4.644507e+06
 
