cluster_size,tet_number,time_sec,tets_per_sec
 1 , 3117824 , 0.268654, 1.160536e+07 
 2 , 3117824 , 0.232309, 1.342100e+07 
 3 , 3117824 , 0.215698, 1.445457e+07 
 4 , 3117824 , 0.205041, 1.520586e+07 
 6 , 3117824 , 0.186431, 1.672371e+07 
 8 , 3117824 , 0.189756, 1.643066e+07 
 12 , 3117824 , 0.176354, 1.767940e+07 
 16 , 3117824 , 0.182464, 1.708737e+07 
 24 , 3117824 , 0.192867, 1.616570e+07 
 32 , 3117824 , 0.198133, 1.573600e+07 
 56 , 3117824 , 0.285699, 1.091295e+07 
 64 , 3117824 , 0.303606, 1.026932e+07 
 96 , 3117824 , 0.303524, 1.027209e+07 
 128 , 3117824 , 0.387147, 8.053327e+06 
 256 , 3117824 , 0.653635, 4.769978e+06 
