cluster_size,tet_number,time_sec,tets_per_sec
 1 , 3117824 , 2.130388, 1.463501e+06 
 2 , 3117824 , 1.871967, 1.665533e+06 
 3 , 3117824 , 1.768139, 1.763337e+06 
 4 , 3117824 , 1.709164, 1.824181e+06 
 6 , 3117824 , 1.625285, 1.918324e+06 
 8 , 3117824 , 1.654315, 1.884661e+06 
 12 , 3117824 , 1.662966, 1.874857e+06 
 16 , 3117824 , 1.628857, 1.914118e+06 
 24 , 3117824 , 1.739185, 1.792692e+06 
 32 , 3117824 , 1.851225, 1.684195e+06 
 56 , 3117824 , 2.179869, 1.430280e+06 
 64 , 3117824 , 2.549240, 1.223040e+06 
 96 , 3117824 , 3.017806, 1.033143e+06 
 128 , 3117824 , 3.833224, 8.133685e+05 
 256 , 3117824 , 5.937028, 5.251489e+05
