rep,geo,op_type,ref,ptype,TTS [s],throughput [GB/s],nelements,ndofs,nnz
tet4,cylinder,Laplacian,0,scalar,1.77216e-05,5.14401,57664,11395,0
tet10,cylinder,Laplacian,0,scalar,1.09888e-05,8.29572,7208,11395,0
macrotet4,cylinder,Laplacian,0,scalar,8.8224e-06,10.3328,7208,11395,0
tet4,cylinder,LinearElasticity,0,vector,3.97344e-05,6.8827,57664,34185,0
tet10,cylinder,LinearElasticity,0,vector,2.38208e-05,11.4807,7208,34185,0
macrotet4,cylinder,LinearElasticity,0,vector,2.22272e-05,12.3038,7208,34185,0
tet4,cylinder,Laplacian,1,scalar,0.000102701,6.53619,461312,83909,0
tet10,cylinder,Laplacian,1,scalar,3.87488e-05,17.3237,57664,83909,0
macrotet4,cylinder,Laplacian,1,scalar,3.63232e-05,18.4805,57664,83909,0
tet4,cylinder,LinearElasticity,1,vector,0.000285482,7.0541,461312,251727,0
tet10,cylinder,LinearElasticity,1,vector,0.000122022,16.5037,57664,251727,0
macrotet4,cylinder,LinearElasticity,1,vector,0.000110451,18.2326,57664,251727,0
tet4,cylinder,Laplacian,2,scalar,0.000758246,6.78358,3690496,642953,0
tet10,cylinder,Laplacian,2,scalar,0.000262445,19.5989,461312,642953,0
macrotet4,cylinder,Laplacian,2,scalar,0.000250835,20.506,461312,642953,0
tet4,cylinder,LinearElasticity,2,vector,0.00220618,6.99439,3690496,1928859,0
tet10,cylinder,LinearElasticity,2,vector,0.000821306,18.7882,461312,1928859,0
macrotet4,cylinder,LinearElasticity,2,vector,0.000765408,20.1603,461312,1928859,0
tet4,cylinder,Laplacian,3,scalar,0.00589641,6.82679,29523968,5031697,0
tet10,cylinder,Laplacian,3,scalar,0.00191215,21.0515,3690496,5031697,0
macrotet4,cylinder,Laplacian,3,scalar,0.0018464,21.8011,3690496,5031697,0
tet4,cylinder,LinearElasticity,3,vector,0.0167315,7.21756,29523968,15095091,0
tet10,cylinder,LinearElasticity,3,vector,0.00618551,19.5232,3690496,15095091,0
macrotet4,cylinder,LinearElasticity,3,vector,0.00566403,21.3207,3690496,15095091,0
tet4,cylinder,Laplacian,4,scalar,0.0448275,7.1043,236191744,39808545,0
tet10,cylinder,Laplacian,4,scalar,0.015257,20.8736,29523968,39808545,0
macrotet4,cylinder,Laplacian,4,scalar,0.0149867,21.2501,29523968,39808545,0
tet4,cylinder,LinearElasticity,4,vector,0.134234,7.11747,236191744,119425635,0
tet10,cylinder,LinearElasticity,4,vector,0.0496149,19.2564,29523968,119425635,0
macrotet4,cylinder,LinearElasticity,4,vector,0.0452861,21.0971,29523968,119425635,0
tet4,sphere,Laplacian,0,scalar,6.6784e-06,1.43987,5120,1202,0
tet10,sphere,Laplacian,0,scalar,8.1312e-06,1.18261,640,1202,0
macrotet4,sphere,Laplacian,0,scalar,7.4432e-06,1.29192,640,1202,0
tet4,sphere,LinearElasticity,0,vector,9.1136e-06,3.16538,5120,3606,0
tet10,sphere,LinearElasticity,0,vector,1.7264e-05,1.67099,640,3606,0
macrotet4,sphere,LinearElasticity,0,vector,1.79456e-05,1.60752,640,3606,0
tet4,sphere,Laplacian,1,scalar,1.3376e-05,4.88457,40960,8167,0
tet10,sphere,Laplacian,1,scalar,1.03584e-05,6.30754,5120,8167,0
macrotet4,sphere,Laplacian,1,scalar,8.6592e-06,7.54527,5120,8167,0
tet4,sphere,LinearElasticity,1,vector,3.13856e-05,6.24516,40960,24501,0
tet10,sphere,LinearElasticity,1,vector,2.256e-05,8.6883,5120,24501,0
macrotet4,sphere,LinearElasticity,1,vector,1.93664e-05,10.121,5120,24501,0
tet4,sphere,Laplacian,2,scalar,7.38304e-05,6.48719,327680,59869,0
tet10,sphere,Laplacian,2,scalar,2.92256e-05,16.3881,40960,59869,0
macrotet4,sphere,Laplacian,2,scalar,2.7712e-05,17.2832,40960,59869,0
tet4,sphere,LinearElasticity,2,vector,0.000206954,6.94289,327680,179607,0
tet10,sphere,LinearElasticity,2,vector,9.51488e-05,15.1011,40960,179607,0
macrotet4,sphere,LinearElasticity,2,vector,7.87104e-05,18.255,40960,179607,0
tet4,sphere,Laplacian,3,scalar,0.000541309,6.76466,2621440,457721,0
tet10,sphere,Laplacian,3,scalar,0.000189738,19.2991,327680,457721,0
macrotet4,sphere,Laplacian,3,scalar,0.000181606,20.1632,327680,457721,0
tet4,sphere,LinearElasticity,3,vector,0.00157027,6.99583,2621440,1373163,0
tet10,sphere,LinearElasticity,3,vector,0.000589626,18.631,327680,1373163,0
macrotet4,sphere,LinearElasticity,3,vector,0.000551914,19.904,327680,1373163,0
tet4,sphere,Laplacian,4,scalar,0.00423984,6.75138,20971520,3578097,0
tet10,sphere,Laplacian,4,scalar,0.00135857,21.0697,2621440,3578097,0
macrotet4,sphere,Laplacian,4,scalar,0.0013142,21.7812,2621440,3578097,0
tet4,sphere,LinearElasticity,4,vector,0.0118865,7.22454,20971520,10734291,0
tet10,sphere,LinearElasticity,4,vector,0.00442183,19.4205,2621440,10734291,0
macrotet4,sphere,LinearElasticity,4,vector,0.00403657,21.2741,2621440,10734291,0
