cluster_size,tet_per_block,nelements,clock,Throughput
8 , 6 , 24942592 , 2.034621e-01, 1.225909e+08 
8 , 8 , 24942592 , 2.641558e-01, 9.442378e+07 
8 , 8 , 24942592 , 2.625114e-01, 9.501528e+07 
8 , 8 , 24942592 , 2.624695e-01, 9.503045e+07 
8 , 8 , 24942592 , 2.624992e-01, 9.501969e+07 
8 , 8 , 24942592 , 2.624039e-01, 9.505421e+07 
8 , 8 , 24942592 , 2.624897e-01, 9.502314e+07 
8 , 8 , 24942592 , 2.624420e-01, 9.504039e+07 
8 , 8 , 24942592 , 2.624980e-01, 9.502011e+07 
8 , 8 , 24942592 , 2.624200e-01, 9.504837e+07 
8 , 8 , 24942592 , 2.624867e-01, 9.502421e+07 
8 , 12 , 24942592 , 2.271891e-01, 1.097878e+08 
8 , 12 , 24942592 , 2.258418e-01, 1.104428e+08 
8 , 12 , 24942592 , 2.255643e-01, 1.105786e+08 
8 , 12 , 24942592 , 2.254550e-01, 1.106323e+08 
8 , 12 , 24942592 , 2.254757e-01, 1.106221e+08 
8 , 12 , 24942592 , 2.255904e-01, 1.105658e+08 
8 , 12 , 24942592 , 2.255782e-01, 1.105718e+08 
8 , 12 , 24942592 , 2.256342e-01, 1.105444e+08 
8 , 12 , 24942592 , 2.255526e-01, 1.105844e+08 
8 , 12 , 24942592 , 2.254962e-01, 1.106120e+08 

12 , 4 , 24942592 , 1.895104e-01, 1.316160e+08 
12 , 4 , 24942592 , 1.889179e-01, 1.320287e+08 
12 , 4 , 24942592 , 1.886683e-01, 1.322034e+08 
12 , 4 , 24942592 , 1.890116e-01, 1.319633e+08 
12 , 4 , 24942592 , 1.884688e-01, 1.323433e+08 
12 , 4 , 24942592 , 1.885416e-01, 1.322922e+08 
12 , 4 , 24942592 , 1.893402e-01, 1.317342e+08 
12 , 4 , 24942592 , 1.891087e-01, 1.318955e+08 
12 , 4 , 24942592 , 1.884790e-01, 1.323362e+08 
12 , 4 , 24942592 , 1.885638e-01, 1.322767e+08 
12 , 6 , 24942592 , 2.080801e-01, 1.198701e+08 
12 , 6 , 24942592 , 2.073906e-01, 1.202687e+08 
12 , 6 , 24942592 , 2.070999e-01, 1.204375e+08 
12 , 6 , 24942592 , 2.056268e-01, 1.213003e+08 
12 , 6 , 24942592 , 2.053667e-01, 1.214540e+08 
12 , 6 , 24942592 , 2.048993e-01, 1.217310e+08 
12 , 6 , 24942592 , 2.062594e-01, 1.209283e+08 
12 , 6 , 24942592 , 2.069423e-01, 1.205292e+08 
12 , 6 , 24942592 , 2.058154e-01, 1.211891e+08 
12 , 6 , 24942592 , 2.060525e-01, 1.210497e+08 
12 , 8 , 24942592 , 2.677062e-01, 9.317150e+07 
12 , 8 , 24942592 , 2.663510e-01, 9.364556e+07 
12 , 8 , 24942592 , 2.664372e-01, 9.361527e+07 
12 , 8 , 24942592 , 2.664166e-01, 9.362251e+07 
12 , 8 , 24942592 , 2.662709e-01, 9.367373e+07 
12 , 8 , 24942592 , 2.662811e-01, 9.367017e+07 
12 , 8 , 24942592 , 2.662854e-01, 9.366864e+07 
12 , 8 , 24942592 , 2.662845e-01, 9.366896e+07 
12 , 8 , 24942592 , 2.663941e-01, 9.363043e+07 
12 , 8 , 24942592 , 2.664979e-01, 9.359397e+07 
12 , 12 , 24942592 , 2.292499e-01, 1.088009e+08 
12 , 12 , 24942592 , 2.277338e-01, 1.095252e+08 
12 , 12 , 24942592 , 2.279811e-01, 1.094064e+08 
12 , 12 , 24942592 , 2.277609e-01, 1.095122e+08 
12 , 12 , 24942592 , 2.278110e-01, 1.094881e+08 
12 , 12 , 24942592 , 2.277196e-01, 1.095321e+08 
12 , 12 , 24942592 , 2.281684e-01, 1.093166e+08 
12 , 12 , 24942592 , 2.280093e-01, 1.093929e+08 
12 , 12 , 24942592 , 2.278182e-01, 1.094846e+08 
