cluster_size,tet_per_block,nelements,closk,Throughtput
4 , 16 , 24942592 , 1.897514e-01, 1.314488e+08 


8 , 4 , 24942592 , 1.566481e-01, 1.592269e+08 
8 , 4 , 24942592 , 1.553346e-01, 1.605734e+08 
8 , 4 , 24942592 , 1.556345e-01, 1.602639e+08 
8 , 4 , 24942592 , 1.550600e-01, 1.608577e+08 
8 , 4 , 24942592 , 1.541169e-01, 1.618420e+08 
8 , 4 , 24942592 , 1.544027e-01, 1.615424e+08 
8 , 4 , 24942592 , 1.548020e-01, 1.611258e+08 
8 , 4 , 24942592 , 1.549522e-01, 1.609696e+08 
8 , 4 , 24942592 , 1.542513e-01, 1.617011e+08 
8 , 4 , 24942592 , 1.545779e-01, 1.613594e+08 
8 , 6 , 24942592 , 1.635209e-01, 1.525346e+08 
8 , 6 , 24942592 , 1.627072e-01, 1.532974e+08 
8 , 6 , 24942592 , 1.628342e-01, 1.531779e+08 
8 , 6 , 24942592 , 1.618537e-01, 1.541058e+08 
8 , 6 , 24942592 , 1.622689e-01, 1.537115e+08 
8 , 6 , 24942592 , 1.624646e-01, 1.535263e+08 
8 , 6 , 24942592 , 1.626657e-01, 1.533366e+08 
8 , 6 , 24942592 , 1.638942e-01, 1.521871e+08 
8 , 6 , 24942592 , 1.611878e-01, 1.547424e+08 
8 , 6 , 24942592 , 1.626413e-01, 1.533595e+08 
8 , 8 , 24942592 , 1.758083e-01, 1.418738e+08 
8 , 8 , 24942592 , 1.737178e-01, 1.435811e+08 
8 , 8 , 24942592 , 1.739603e-01, 1.433809e+08 
8 , 8 , 24942592 , 1.737675e-01, 1.435400e+08 
8 , 8 , 24942592 , 1.744771e-01, 1.429563e+08 
8 , 8 , 24942592 , 1.737346e-01, 1.435672e+08 
8 , 8 , 24942592 , 1.738470e-01, 1.434744e+08 
8 , 8 , 24942592 , 1.746426e-01, 1.428208e+08 
8 , 8 , 24942592 , 1.742971e-01, 1.431039e+08 
8 , 8 , 24942592 , 1.741271e-01, 1.432436e+08 
8 , 12 , 24942592 , 2.115721e-01, 1.178917e+08 
8 , 12 , 24942592 , 2.098969e-01, 1.188326e+08 
8 , 12 , 24942592 , 2.101792e-01, 1.186730e+08 
8 , 12 , 24942592 , 2.100980e-01, 1.187189e+08 
8 , 12 , 24942592 , 2.099611e-01, 1.187962e+08 
8 , 12 , 24942592 , 2.099933e-01, 1.187780e+08 
8 , 12 , 24942592 , 2.099747e-01, 1.187886e+08 
8 , 12 , 24942592 , 2.100816e-01, 1.187281e+08 
8 , 12 , 24942592 , 2.099836e-01, 1.187836e+08 
8 , 12 , 24942592 , 2.100288e-01, 1.187579e+08 
8 , 16 , 24942592 , 1.954503e-01, 1.276160e+08 
8 , 16 , 24942592 , 1.939098e-01, 1.286299e+08 
8 , 16 , 24942592 , 1.938235e-01, 1.286871e+08 
8 , 16 , 24942592 , 1.940551e-01, 1.285336e+08 
8 , 16 , 24942592 , 1.937228e-01, 1.287540e+08 
8 , 16 , 24942592 , 1.938517e-01, 1.286684e+08 
8 , 16 , 24942592 , 1.937701e-01, 1.287226e+08 
8 , 16 , 24942592 , 1.938290e-01, 1.286835e+08 
8 , 16 , 24942592 , 1.938089e-01, 1.286968e+08 
8 , 16 , 24942592 , 1.938900e-01, 1.286430e+08 


12 , 4 , 24942592 , 1.592060e-01, 1.566687e+08 
12 , 4 , 24942592 , 1.577024e-01, 1.581624e+08 
12 , 4 , 24942592 , 1.574519e-01, 1.584140e+08 
12 , 4 , 24942592 , 1.569653e-01, 1.589051e+08 
12 , 4 , 24942592 , 1.575355e-01, 1.583300e+08 
12 , 4 , 24942592 , 1.570269e-01, 1.588428e+08 
12 , 4 , 24942592 , 1.583524e-01, 1.575132e+08 
12 , 4 , 24942592 , 1.569898e-01, 1.588803e+08 
12 , 4 , 24942592 , 1.578393e-01, 1.580252e+08 
12 , 4 , 24942592 , 1.579787e-01, 1.578858e+08 
12 , 6 , 24942592 , 1.691027e-01, 1.474996e+08 
12 , 6 , 24942592 , 1.668974e-01, 1.494487e+08 
12 , 6 , 24942592 , 1.679400e-01, 1.485208e+08 
12 , 6 , 24942592 , 1.676605e-01, 1.487684e+08 
12 , 6 , 24942592 , 1.683912e-01, 1.481229e+08 
12 , 6 , 24942592 , 1.671528e-01, 1.492203e+08 
12 , 6 , 24942592 , 1.671748e-01, 1.492007e+08 
12 , 6 , 24942592 , 1.677622e-01, 1.486783e+08 
12 , 6 , 24942592 , 1.680498e-01, 1.484238e+08 
12 , 6 , 24942592 , 1.668047e-01, 1.495317e+08 
12 , 8 , 24942592 , 1.795119e-01, 1.389468e+08 
12 , 8 , 24942592 , 1.774788e-01, 1.405384e+08 
