Level,Number_of_elements
1, 23289632
2, 774994
3, 203896
4, 113116
5, 107840
6, 105212
7, 80866
8, 66690
9, 60018
10, 56452
11, 37150
12, 23802
13, 14024
14, 5208
15, 1796
16, 1204
17, 316
18, 188
19, 84
20, 68
