mpi_rank, mpi_size, real_t_bits, tot_nelements, tot_nnodes, npoint_struc, clock, elements_second, nodes_second, nodes_struc_second, quadrature_points_second
0,   1,  32,   20971520,   28292577,   729000000,   0.104411,   2.00855e+08,   2.70972e+08,   6.982e+09,  1.51744e+10
0,   2,  32,   20971520,   28292577,   428490000,   0.0648763,   3.23254e+08,   4.361e+08,   6.60472e+09,  2.44216e+10
0,   4,  32,   20971520,   28292577,   451980000,   0.0392767,   5.33943e+08,   7.2034e+08,   1.15076e+10,  4.0339e+10
0,   8,  32,   20971520,   28292577,   499770000,   0.0481022,   4.35979e+08,   5.88177e+08,   1.03898e+10,  3.29379e+10
